"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Grey.seal",1995,5,"Cod",8,7076.28676828323
"Grey.seal",1996,5,"Cod",8,7399.21343090876
"Grey.seal",1997,5,"Cod",8,6949.8091159664
"Grey.seal",1998,5,"Cod",8,10231.5264249079
"Grey.seal",1999,5,"Cod",8,5656.15559572191
"Grey.seal",2000,5,"Cod",8,5888.13814631582
"Grey.seal",2001,5,"Cod",8,7421.68149354398
"Grey.seal",2002,5,"Cod",8,8028.80154693234
"Grey.seal",2003,5,"Cod",8,8116.07968404859
"Grey.seal",2004,5,"Cod",8,8758.9478738019
"Grey.seal",2005,5,"Cod",8,10387.9854871899
"Grey.seal",2006,5,"Cod",8,8866.45169110512
"Grey.seal",2007,5,"Cod",8,8529.00623525908
"Grey.seal",2008,5,"Cod",8,8378.87074352988
"Grey.seal",2009,5,"Cod",8,5076.55631264689
"Grey.seal",2010,5,"Cod",8,6132.48525737481
"Grey.seal",2011,5,"Cod",8,8015.90046064071
"Grey.seal",2012,5,"Cod",8,6760.06854854084
"Grey.seal",2013,5,"Cod",8,5947.74954491268
"Grey.seal",2014,5,"Cod",8,7373.35597813569
"Grey.seal",2015,5,"Cod",8,7725.99957145512
"Grey.seal",2016,5,"Cod",8,7910.65008339874
"Grey.seal",2017,5,"Cod",8,2923.96712520395
"Grey.seal",2018,5,"Cod",8,3968.79013022808
"Grey.seal",2019,5,"Cod",8,2655.50485991877
"Habour porpoise",1974,6,"Cod",8,48432.6562588969
"Habour porpoise",1975,6,"Cod",8,54164.5970622096
"Habour porpoise",1976,6,"Cod",8,58379.1154613974
"Habour porpoise",1977,6,"Cod",8,63790.6420166571
"Habour porpoise",1978,6,"Cod",8,67971.0395812587
"Habour porpoise",1979,6,"Cod",8,58438.4095590446
"Habour porpoise",1980,6,"Cod",8,63263.4909817264
"Habour porpoise",1981,6,"Cod",8,64649.0421467317
"Habour porpoise",1982,6,"Cod",8,57732.7351709659
"Habour porpoise",1983,6,"Cod",8,58166.7886713987
"Habour porpoise",1984,6,"Cod",8,55358.926095467
"Habour porpoise",1985,6,"Cod",8,52931.6668688097
"Habour porpoise",1986,6,"Cod",8,44944.730616218
