"Year","Species.n","Species","Yield","yield.core","DeadM1","DeadM2","DeadM1.core","DeadM2.core","Fbar","SSB","TSB","Recruits"
2002,26,"Plaice",134260,134260,23251.440656625,0,23251.440656625,0,0.79378,171563,315961,573727
2003,26,"Plaice",154019,154019,22534.9052964,0,22534.9052964,0,0.792001,186902,313576,1171130
2004,26,"Plaice",127979,127979,22356.9800055,0,22356.9800055,0,0.614872,158141,292084,727508
2005,26,"Plaice",119045,119045,21216.673617625,0,21216.673617625,0,0.649113,179837,283230,731868
2006,26,"Plaice",131304,131304,21799.44162175,0,21799.44162175,0,0.640999,177405,288313,1080410
2007,26,"Plaice",100965,100965,20515.4559035,0,20515.4559035,0,0.565662,157808,261833,926404
2008,26,"Plaice",105331,105331,23782.8453595,0,23782.8453595,0,0.489496,182525,297787,853307
2009,26,"Plaice",108260,108260,27764.06259375,0,27764.06259375,0,0.430618,213762,340373,1089540
2010,26,"Plaice",116903,116903,31197.6248895,0,31197.6248895,0,0.441501,252380,383196,1305830
2011,26,"Plaice",118084,118084,29823.0189875,0,29823.0189875,0,0.449545,242585,369412,1089370
2012,26,"Plaice",141936,141936,30431.43851425,0,30431.43851425,0,0.457977,241335,376680,1167630
2013,26,"Plaice",126254,126254,32863.2417995,0,32863.2417995,0,0.420145,264542,401838,1273110
2014,26,"Plaice",133627,133627,35393.6513515,0,35393.6513515,0,0.419246,292328,437172,717820
2015,26,"Plaice",134459,134459,27606.4555985,0,27606.4555985,0,0.44926,266992,348296,830157
2016,26,"Plaice",136948,136948,25914.3224225,0,25914.3224225,0,0.517324,255275,331555,1289100
2017,26,"Plaice",114291,114291,25867.063518,0,25867.063518,0,0.396226,235249,316244,743155
2018,26,"Plaice",105774,105774,24684.7145601525,0,24684.7145601525,0,0.400192,211431,291185,2244810
2019,26,"Plaice",86091.8,86091.8,27292.6359725,0,27292.6359725,0,0.274741,212167,313991,1060500
1974,27,"Sole",17985.6,17985.6,4813.058267205,0,4813.058267205,0,0.45879,40997.6,59470.2,49141.8
1975,27,"Sole",20769.5,20769.5,4686.21405373,0,4686.21405373,0,0.466147,43211,58406.9,111019
1976,27,"Sole",17322.2,17322.2,4262.502567317,0,4262.502567317,0,0.435226,42834.8,52525,138258
1977,27,"Sole",18000.7,18000.7,4440.495305395,0,4440.495305395,0,0.394448,35068.2,53691.3,51184.8
1978,27,"Sole",20275.7,20275.7,4566.5610111625,0,4566.5610111625,0,0.484393,39999.4,58216.2,14954
1979,27,"Sole",22594.9,22594.9,4176.775136795,0,4176.775136795,0,0.476925,45967.6,53114.2,151835
1980,27,"Sole",15803.2,15803.2,3553.048546113,0,3553.048546113,0,0.481789,36197.8,43847.1,162427
1981,27,"Sole",15399.8,15399.8,4305.2827142625,0,4305.2827142625,0,0.480132,25077.2,50669,147010
1982,27,"Sole",21574.5,21574.5,4815.6118634425,0,4815.6118634425,0,0.541939,34149.7,59278.1,149864
1983,27,"Sole",24924.2,24924.2,5312.877160981,0,5312.877160981,0,0.509387,42180.3,66981,77112.2
1984,27,"Sole",26836.7,26836.7,5038.07264474325,0,5038.07264474325,0,0.584804,45357.1,66142.2,92671.6
1985,27,"Sole",24245.4,24245.4,4238.3305711025,0,4238.3305711025,0,0.550252,41869.5,54684.8,143123
1986,27,"Sole",18197.7,18197.7,4116.29363665825,0,4116.29363665825,0,0.608517,36282.3,53672.6,66924.7
1987,27,"Sole",17365.1,17365.1,4619.9673661085,0,4619.9673661085,0,0.497266,29949.7,52053.4,509291
1988,27,"Sole",21586.8,21586.8,5738.4247668832,0,5738.4247668832,0,0.497806,36517.9,68385.2,115792
1989,27,"Sole",21801.5,21801.5,8319.066544547,0,8319.066544547,0,0.407854,32569.6,96251.5,235062
1990,27,"Sole",35118.1,35118.1,9448.98525580475,0,9448.98525580475,0,0.428942,91205.8,117110,83109.3
1991,27,"Sole",33511.2,33511.2,8902.249887183,0,8902.249887183,0,0.472297,77736.6,109388,422870
1992,27,"Sole",29338.8,29338.8,8786.1246167295,0,8786.1246167295,0,0.456725,78289.6,109376,86095.4
1993,27,"Sole",31489.1,31489.1,8335.378083365,0,8335.378083365,0,0.509444,54650.3,104586,61456.8
1994,27,"Sole",33000,33000,6848.2195250625,0,6848.2195250625,0,0.549068,76934.1,90264.4,103584
1995,27,"Sole",30466.3,30466.3,5543.795905955,0,5543.795905955,0,0.504207,59764.6,72524.8,62340.2
1996,27,"Sole",22648.1,22648.1,4236.65197750083,0,4236.65197750083,0,0.727832,40751.9,56590.8,260155
1997,27,"Sole",14899.4,14899.4,3971.61973470875,0,3971.61973470875,0,0.617266,29156.6,49373.7,118067
1998,27,"Sole",20864.9,20864.9,4659.274914503,0,4659.274914503,0,0.653392,21845.2,58131.4,91889.6
1999,27,"Sole",23473.2,23473.2,4427.14093139625,0,4427.14093139625,0,0.581965,38976.3,56354.7,124175
2000,27,"Sole",22639.1,22639.1,3951.0348371859,0,3951.0348371859,0,0.646809,35686.9,52362.2,67035.1
2001,27,"Sole",19941.8,19941.8,3809.53177800625,0,3809.53177800625,0,0.539218,28614.6,46844.9,183452
2002,27,"Sole",18659.3,18659.3,3860.96388899255,0,3860.96388899255,0,0.535827,31165,48098.2,85472.8
2003,27,"Sole",19285.6,19285.6,4250.57621105538,0,4250.57621105538,0,0.528241,26235.3,52920.5,45508.9
2004,27,"Sole",20941.8,20941.8,3811.3502240125,0,3811.3502240125,0,0.521125,36968.9,49025.3,50294.4
2005,27,"Sole",17696.1,17696.1,3127.21600469275,0,3127.21600469275,0,0.556307,31370.7,39530.9,184905
2006,27,"Sole",13588.3,13588.3,3216.9301237036,0,3216.9301237036,0,0.474188,24018.8,39094.9,73832
2007,27,"Sole",15504.8,15504.8,3764.43820647437,0,3764.43820647437,0,0.478295,17735.9,45035.4,72050.9
2008,27,"Sole",14615.1,14615.1,3875.1787477993,0,3875.1787477993,0,0.409045,33741,46789.9,89803.4
2009,27,"Sole",15213.9,15213.9,3700.5654822373,0,3700.5654822373,0,0.471978,31950.9,44901.6,185987
2010,27,"Sole",14850.2,14850.2,4130.42089560368,0,4130.42089560368,0,0.529085,29284.6,49456.4,228646
2011,27,"Sole",13188.5,13188.5,4920.459245728,0,4920.459245728,0,0.460637,25636,58663.2,58439.3
2012,27,"Sole",14694.8,14694.8,3438.701362975,0,3438.701362975,0,0.519091,30622.6,43241.9,105075
2013,27,"Sole",15958.1,15958.1,3499.613883575,0,3499.613883575,0,0.467542,36591.9,43348.2,155951
2014,27,"Sole",14639.6,14639.6,3375.255085925,0,3375.255085925,0,0.44289,31403.7,41694.7,112289
2015,27,"Sole",14590.4,14590.4,3885.2819277275,0,3885.2819277275,0,0.402244,29185.2,46572.6,68239.6
2016,27,"Sole",15323.4,15323.4,3384.6895233825,0,3384.6895233825,0,0.453218,34913.1,41946.1,138691
2017,27,"Sole",13573.9,13573.9,3127.786066638,0,3127.786066638,0,0.40828,31029.2,38076.8,112278
2018,27,"Sole",12265.7,12265.7,3916.9107997275,0,3916.9107997275,0,0.351159,27506,40166.3,632963
2019,27,"Sole",10605.2,10605.2,4470.76625871,0,4470.76625871,0,0.299295,27878.8,51251.8,24286.4
