"Year","Quarter","Species.n","Species","Age","N","Nbar","west","BIO","Lsea","consum"
1994,4,1,"Fulmar",1,1833,1833,5,9165,500,34.42
1995,1,1,"Fulmar",1,1156,1156,5,5780,500,34.42
1995,2,1,"Fulmar",1,1560,1560,5,7800,500,28.72
1995,3,1,"Fulmar",1,1888,1888,5,9440,500,27.091
1995,4,1,"Fulmar",1,1645,1645,5,8225,500,34.42
1996,1,1,"Fulmar",1,1085,1085,5,5425,500,34.42
1996,2,1,"Fulmar",1,1484,1484,5,7420,500,28.72
1996,3,1,"Fulmar",1,1769,1769,5,8845,500,27.091
1996,4,1,"Fulmar",1,1489,1489,5,7445,500,34.42
1997,1,1,"Fulmar",1,1023,1023,5,5115,500,34.42
1997,2,1,"Fulmar",1,1427,1427,5,7135,500,28.72
1997,3,1,"Fulmar",1,1664,1664,5,8320,500,27.091
1997,4,1,"Fulmar",1,1336,1336,5,6680,500,34.42
1998,1,1,"Fulmar",1,972,972,5,4860,500,34.42
1998,2,1,"Fulmar",1,1355,1355,5,6775,500,28.72
1998,3,1,"Fulmar",1,1581,1581,5,7905,500,27.091
1998,4,1,"Fulmar",1,1269,1269,5,6345,500,34.42
1999,1,1,"Fulmar",1,921,921,5,4605,500,34.42
1999,2,1,"Fulmar",1,1284,1284,5,6420,500,28.72
1999,3,1,"Fulmar",1,1498,1498,5,7490,500,27.091
1999,4,1,"Fulmar",1,1203,1203,5,6015,500,34.42
2000,1,1,"Fulmar",1,871,871,5,4355,500,34.42
2000,2,1,"Fulmar",1,1214,1214,5,6070,500,28.72
2000,3,1,"Fulmar",1,1416,1416,5,7080,500,27.091
2000,4,1,"Fulmar",1,1137,1137,5,5685,500,34.42
2001,1,1,"Fulmar",1,865,865,5,4325,500,34.42
2001,2,1,"Fulmar",1,1205,1205,5,6025,500,28.72
2001,3,1,"Fulmar",1,1406,1406,5,7030,500,27.091
2001,4,1,"Fulmar",1,1129,1129,5,5645,500,34.42
2002,1,1,"Fulmar",1,858,858,5,4290,500,34.42
2002,2,1,"Fulmar",1,1197,1197,5,5985,500,28.72
2002,3,1,"Fulmar",1,1396,1396,5,6980,500,27.091
2002,4,1,"Fulmar",1,1121,1121,5,5605,500,34.42
2003,1,1,"Fulmar",1,852,852,5,4260,500,34.42
2003,2,1,"Fulmar",1,1188,1188,5,5940,500,28.72
2003,3,1,"Fulmar",1,1385,1385,5,6925,500,27.091
2003,4,1,"Fulmar",1,1112,1112,5,5560,500,34.42
2004,1,1,"Fulmar",1,814,814,5,4070,500,34.42
2004,2,1,"Fulmar",1,1152,1152,5,5760,500,28.72
2004,3,1,"Fulmar",1,1351,1351,5,6755,500,27.091
2004,4,1,"Fulmar",1,1068,1068,5,5340,500,34.42
2005,1,1,"Fulmar",1,777,777,5,3885,500,34.42
2005,2,1,"Fulmar",1,1115,1115,5,5575,500,28.72
2005,3,1,"Fulmar",1,1317,1317,5,6585,500,27.091
2005,4,1,"Fulmar",1,1023,1023,5,5115,500,34.42
2006,1,1,"Fulmar",1,739,739,5,3695,500,34.42
2006,2,1,"Fulmar",1,1079,1079,5,5395,500,28.72
2006,3,1,"Fulmar",1,1284,1284,5,6420,500,27.091
2006,4,1,"Fulmar",1,979,979,5,4895,500,34.42
2007,1,1,"Fulmar",1,702,702,5,3510,500,34.42
2007,2,1,"Fulmar",1,1042,1042,5,5210,500,28.72
2007,3,1,"Fulmar",1,1250,1250,5,6250,500,27.091
2007,4,1,"Fulmar",1,934,934,5,4670,500,34.42
2008,1,1,"Fulmar",1,664,664,5,3320,500,34.42
2008,2,1,"Fulmar",1,1006,1006,5,5030,500,28.72
2008,3,1,"Fulmar",1,1216,1216,5,6080,500,27.091
2008,4,1,"Fulmar",1,890,890,5,4450,500,34.42
2009,1,1,"Fulmar",1,627,627,5,3135,500,34.42
2009,2,1,"Fulmar",1,969,969,5,4845,500,28.72
2009,3,1,"Fulmar",1,1182,1182,5,5910,500,27.091
2009,4,1,"Fulmar",1,845,845,5,4225,500,34.42
2010,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2010,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2010,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2010,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2011,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2011,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2011,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2011,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2012,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2012,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2012,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2012,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2013,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2013,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2013,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2013,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2014,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2014,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2014,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2014,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2015,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2015,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2015,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2015,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2016,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2016,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2016,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2016,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2017,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2017,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2017,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2017,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2018,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2018,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2018,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2018,4,1,"Fulmar",1,801,801,5,4005,500,34.42
2019,1,1,"Fulmar",1,589,589,5,2945,500,34.42
2019,2,1,"Fulmar",1,933,933,5,4665,500,28.72
2019,3,1,"Fulmar",1,1148,1148,5,5740,500,27.091
2019,4,1,"Fulmar",1,801,801,5,4005,500,34.42
1974,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1974,2,2,"Guillemot",1,1455,1455,5,7275,500,32.258
1974,3,2,"Guillemot",1,1601,1601,5,8005,500,32.828
1974,4,2,"Guillemot",1,1253,1253,5,6265,500,32.148
1975,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1975,2,2,"Guillemot",1,1493,1493,5,7465,500,32.258
1975,3,2,"Guillemot",1,1627,1627,5,8135,500,32.828
1975,4,2,"Guillemot",1,1253,1253,5,6265,500,32.148
1976,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1976,2,2,"Guillemot",1,1531,1531,5,7655,500,32.258
1976,3,2,"Guillemot",1,1653,1653,5,8265,500,32.828
1976,4,2,"Guillemot",1,1253,1253,5,6265,500,32.148
1977,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1977,2,2,"Guillemot",1,1569,1569,5,7845,500,32.258
1977,3,2,"Guillemot",1,1678,1678,5,8390,500,32.828
1977,4,2,"Guillemot",1,1254,1254,5,6270,500,32.148
1978,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1978,2,2,"Guillemot",1,1607,1607,5,8035,500,32.258
1978,3,2,"Guillemot",1,1704,1704,5,8520,500,32.828
1978,4,2,"Guillemot",1,1254,1254,5,6270,500,32.148
1979,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1979,2,2,"Guillemot",1,1645,1645,5,8225,500,32.258
1979,3,2,"Guillemot",1,1730,1730,5,8650,500,32.828
1979,4,2,"Guillemot",1,1254,1254,5,6270,500,32.148
1980,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1980,2,2,"Guillemot",1,1683,1683,5,8415,500,32.258
1980,3,2,"Guillemot",1,1755,1755,5,8775,500,32.828
1980,4,2,"Guillemot",1,1254,1254,5,6270,500,32.148
1981,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1981,2,2,"Guillemot",1,1721,1721,5,8605,500,32.258
1981,3,2,"Guillemot",1,1781,1781,5,8905,500,32.828
1981,4,2,"Guillemot",1,1255,1255,5,6275,500,32.148
1982,1,2,"Guillemot",1,1163,1163,5,5815,500,32.456
1982,2,2,"Guillemot",1,1759,1759,5,8795,500,32.258
1982,3,2,"Guillemot",1,1807,1807,5,9035,500,32.828
1982,4,2,"Guillemot",1,1255,1255,5,6275,500,32.148
1983,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1983,2,2,"Guillemot",1,1796,1796,5,8980,500,32.258
1983,3,2,"Guillemot",1,1832,1832,5,9160,500,32.828
1983,4,2,"Guillemot",1,1255,1255,5,6275,500,32.148
1984,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1984,2,2,"Guillemot",1,1834,1834,5,9170,500,32.258
1984,3,2,"Guillemot",1,1858,1858,5,9290,500,32.828
1984,4,2,"Guillemot",1,1255,1255,5,6275,500,32.148
1985,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1985,2,2,"Guillemot",1,1872,1872,5,9360,500,32.258
1985,3,2,"Guillemot",1,1884,1884,5,9420,500,32.828
1985,4,2,"Guillemot",1,1256,1256,5,6280,500,32.148
1986,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1986,2,2,"Guillemot",1,1910,1910,5,9550,500,32.258
1986,3,2,"Guillemot",1,1910,1910,5,9550,500,32.828
1986,4,2,"Guillemot",1,1256,1256,5,6280,500,32.148
1987,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1987,2,2,"Guillemot",1,1948,1948,5,9740,500,32.258
1987,3,2,"Guillemot",1,1935,1935,5,9675,500,32.828
1987,4,2,"Guillemot",1,1256,1256,5,6280,500,32.148
1988,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1988,2,2,"Guillemot",1,1986,1986,5,9930,500,32.258
1988,3,2,"Guillemot",1,1961,1961,5,9805,500,32.828
1988,4,2,"Guillemot",1,1256,1256,5,6280,500,32.148
1989,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1989,2,2,"Guillemot",1,2024,2024,5,10120,500,32.258
1989,3,2,"Guillemot",1,1987,1987,5,9935,500,32.828
1989,4,2,"Guillemot",1,1257,1257,5,6285,500,32.148
1990,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1990,2,2,"Guillemot",1,2062,2062,5,10310,500,32.258
1990,3,2,"Guillemot",1,2012,2012,5,10060,500,32.828
1990,4,2,"Guillemot",1,1257,1257,5,6285,500,32.148
1991,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1991,2,2,"Guillemot",1,2100,2100,5,10500,500,32.258
1991,3,2,"Guillemot",1,2038,2038,5,10190,500,32.828
1991,4,2,"Guillemot",1,1257,1257,5,6285,500,32.148
1992,1,2,"Guillemot",1,1162,1162,5,5810,500,32.456
1992,2,2,"Guillemot",1,2138,2138,5,10690,500,32.258
1992,3,2,"Guillemot",1,2064,2064,5,10320,500,32.828
1992,4,2,"Guillemot",1,1257,1257,5,6285,500,32.148
1993,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1993,2,2,"Guillemot",1,2176,2176,5,10880,500,32.258
1993,3,2,"Guillemot",1,2090,2090,5,10450,500,32.828
1993,4,2,"Guillemot",1,1258,1258,5,6290,500,32.148
1994,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1994,2,2,"Guillemot",1,2214,2214,5,11070,500,32.258
1994,3,2,"Guillemot",1,2115,2115,5,10575,500,32.828
1994,4,2,"Guillemot",1,1258,1258,5,6290,500,32.148
1995,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1995,2,2,"Guillemot",1,2251,2251,5,11255,500,32.258
1995,3,2,"Guillemot",1,2141,2141,5,10705,500,32.828
1995,4,2,"Guillemot",1,1258,1258,5,6290,500,32.148
1996,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1996,2,2,"Guillemot",1,2289,2289,5,11445,500,32.258
1996,3,2,"Guillemot",1,2167,2167,5,10835,500,32.828
1996,4,2,"Guillemot",1,1258,1258,5,6290,500,32.148
1997,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1997,2,2,"Guillemot",1,2327,2327,5,11635,500,32.258
1997,3,2,"Guillemot",1,2192,2192,5,10960,500,32.828
1997,4,2,"Guillemot",1,1259,1259,5,6295,500,32.148
1998,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1998,2,2,"Guillemot",1,2365,2365,5,11825,500,32.258
1998,3,2,"Guillemot",1,2218,2218,5,11090,500,32.828
1998,4,2,"Guillemot",1,1259,1259,5,6295,500,32.148
1999,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
1999,2,2,"Guillemot",1,2403,2403,5,12015,500,32.258
1999,3,2,"Guillemot",1,2244,2244,5,11220,500,32.828
1999,4,2,"Guillemot",1,1259,1259,5,6295,500,32.148
2000,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
2000,2,2,"Guillemot",1,2441,2441,5,12205,500,32.258
2000,3,2,"Guillemot",1,2270,2270,5,11350,500,32.828
2000,4,2,"Guillemot",1,1259,1259,5,6295,500,32.148
2001,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
2001,2,2,"Guillemot",1,2479,2479,5,12395,500,32.258
2001,3,2,"Guillemot",1,2295,2295,5,11475,500,32.828
2001,4,2,"Guillemot",1,1260,1260,5,6300,500,32.148
2002,1,2,"Guillemot",1,1161,1161,5,5805,500,32.456
2002,2,2,"Guillemot",1,2517,2517,5,12585,500,32.258
2002,3,2,"Guillemot",1,2321,2321,5,11605,500,32.828
2002,4,2,"Guillemot",1,1260,1260,5,6300,500,32.148
2003,1,2,"Guillemot",1,1160,1160,5,5800,500,32.456
2003,2,2,"Guillemot",1,2555,2555,5,12775,500,32.258
2003,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2003,4,2,"Guillemot",1,1260,1260,5,6300,500,32.148
2004,1,2,"Guillemot",1,1180,1180,5,5900,500,32.456
2004,2,2,"Guillemot",1,2557,2557,5,12785,500,32.258
2004,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2004,4,2,"Guillemot",1,1285,1285,5,6425,500,32.148
2005,1,2,"Guillemot",1,1201,1201,5,6005,500,32.456
2005,2,2,"Guillemot",1,2558,2558,5,12790,500,32.258
2005,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2005,4,2,"Guillemot",1,1310,1310,5,6550,500,32.148
2006,1,2,"Guillemot",1,1221,1221,5,6105,500,32.456
2006,2,2,"Guillemot",1,2560,2560,5,12800,500,32.258
2006,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2006,4,2,"Guillemot",1,1336,1336,5,6680,500,32.148
2007,1,2,"Guillemot",1,1241,1241,5,6205,500,32.456
2007,2,2,"Guillemot",1,2561,2561,5,12805,500,32.258
2007,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2007,4,2,"Guillemot",1,1361,1361,5,6805,500,32.148
2008,1,2,"Guillemot",1,1262,1262,5,6310,500,32.456
2008,2,2,"Guillemot",1,2563,2563,5,12815,500,32.258
2008,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2008,4,2,"Guillemot",1,1386,1386,5,6930,500,32.148
2009,1,2,"Guillemot",1,1282,1282,5,6410,500,32.456
2009,2,2,"Guillemot",1,2564,2564,5,12820,500,32.258
2009,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2009,4,2,"Guillemot",1,1411,1411,5,7055,500,32.148
2010,1,2,"Guillemot",1,1303,1303,5,6515,500,32.456
2010,2,2,"Guillemot",1,2566,2566,5,12830,500,32.258
2010,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2010,4,2,"Guillemot",1,1436,1436,5,7180,500,32.148
2011,1,2,"Guillemot",1,1303,1303,5,6515,500,32.456
2011,2,2,"Guillemot",1,2566,2566,5,12830,500,32.258
2011,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2011,4,2,"Guillemot",1,1436,1436,5,7180,500,32.148
2012,1,2,"Guillemot",1,1303,1303,5,6515,500,32.456
2012,2,2,"Guillemot",1,2566,2566,5,12830,500,32.258
2012,3,2,"Guillemot",1,2347,2347,5,11735,500,32.828
2012,4,2,"Guillemot",1,1436,1436,5,7180,500,32.148
2013,1,2,"Guillemot",1,1303,1303,5,6515,500,32.456
