"Species","Species.n","Year","Rec","SSB","TSB","SOP","SOP.core","Yield","Yield.core","mean.F","Eaten","sum.q.F"
"Herring",2,2021,21852700,477033,613514,128966,128966,128966,128966,0.315591,51481.1,0.31632825
"Sprat",3,2021,124082000,1285470,1595050,284787,284787,284787,284787,0.24121,132318,0.2362286
