Species,Species.n,T1,T2,HCR,Ftarget,noise.low,noise.high,rec.adjust,rec.adjust.single,rec.adjust.CV.single,AMOEBA_F
Herring,2,0,460000,2,0.32,-2,2,1,1,0,0.32
Sprat,3,175000,570000,22,0.41,-2,2,1,1,0,0.41
