Year Quarter Area Predator.no Predator.age Prey.no Prey.age Part.M2
2022 2 1 1 6 2 2 0.00181726
2022 2 1 1 6 2 3 0.00196249
2022 2 1 1 6 2 4 0.00126167
2022 2 1 1 6 2 5 0.00132399
2022 2 1 1 6 2 6 0.00100193
2022 2 1 1 6 2 7 0.000800539
2022 2 1 1 6 2 8 0.000673553
2022 2 1 1 6 3 1 0.00904031
2022 2 1 1 6 3 2 0.00600728
2022 2 1 1 6 3 3 0.00541387
2022 2 1 1 6 3 4 0.00507044
2022 2 1 1 6 3 5 0.00499023
2022 2 1 1 6 3 6 0.00438551
2022 2 1 1 6 3 7 0.00465401
2022 2 1 1 7 2 1 0.00213505
2022 2 1 1 7 2 2 0.00135231
2022 2 1 1 7 2 3 0.00144285
2022 2 1 1 7 2 4 0.00099054
2022 2 1 1 7 2 5 0.00103246
2022 2 1 1 7 2 6 0.000811538
2022 2 1 1 7 2 7 0.000667347
2022 2 1 1 7 2 8 0.00057353
2022 2 1 1 7 3 1 0.00519947
2022 2 1 1 7 3 2 0.00385987
2022 2 1 1 7 3 3 0.00355816
2022 2 1 1 7 3 4 0.00337784
2022 2 1 1 7 3 5 0.0033351
2022 2 1 1 7 3 6 0.00300538
2022 2 1 1 7 3 7 0.00315345
2022 2 1 1 8 2 1 0.00355944
2022 2 1 1 8 2 2 0.00247864
2022 2 1 1 8 2 3 0.00261296
2022 2 1 1 8 2 4 0.00191501
2022 2 1 1 8 2 5 0.00198266
2022 2 1 1 8 2 6 0.00161844
2022 2 1 1 8 2 7 0.00136956
2022 2 1 1 8 2 8 0.00120216
2022 2 1 1 8 3 1 0.00737386
2022 2 1 1 8 3 2 0.00611251
2022 2 1 1 8 3 3 0.00576305
2022 2 1 1 8 3 4 0.00554517
2022 2 1 1 8 3 5 0.00549258
2022 2 1 1 8 3 6 0.00507466
2022 2 1 1 8 3 7 0.00526497
2022 2 1 1 9 2 1 0.000721576
2022 2 1 1 9 2 2 0.000568629
2022 2 1 1 9 2 3 0.000590108
2022 2 1 1 9 2 4 0.000470994
2022 2 1 1 9 2 5 0.000483368
2022 2 1 1 9 2 6 0.000414518
2022 2 1 1 9 2 7 0.000364138
2022 2 1 1 9 2 8 0.000328565
2022 2 1 1 9 3 1 0.00121042
2022 2 1 1 9 3 2 0.00115874
2022 2 1 1 9 3 3 0.00112507
2022 2 1 1 9 3 4 0.00110173
2022 2 1 1 9 3 5 0.00109585
2022 2 1 1 9 3 6 0.001046
2022 2 1 1 9 3 7 0.00106937
2022 2 1 1 10 2 1 2.78959e-05
2022 2 1 1 10 2 2 2.44317e-05
2022 2 1 1 10 2 3 2.5017e-05
2022 2 1 1 10 2 4 2.14759e-05
2022 2 1 1 10 2 5 2.18754e-05
2022 2 1 1 10 2 6 1.95663e-05
2022 2 1 1 10 2 7 1.77458e-05
2022 2 1 1 10 2 8 1.63937e-05
2022 2 1 1 10 3 1 3.90779e-05
2022 2 1 1 10 3 2 4.23024e-05
2022 2 1 1 10 3 3 4.21171e-05
2022 2 1 1 10 3 4 4.18669e-05
2022 2 1 1 10 3 5 4.17923e-05
2022 2 1 1 10 3 6 4.10163e-05
2022 2 1 1 10 3 7 4.14091e-05
2022 3 1 1 2 2 0 0.000148687
2022 3 1 1 2 3 0 0.000127874
2022 3 1 1 3 2 0 0.000967342
2022 3 1 1 3 3 0 0.000729981
2022 3 1 1 3 3 1 0.000301884
2022 3 1 1 3 3 2 0.000225866
2022 3 1 1 3 3 3 0.000180446
2022 3 1 1 3 3 4 0.000180446
2022 3 1 1 3 3 5 0.000161619
2022 3 1 1 3 3 7 0.000170645
2022 3 1 1 4 2 0 0.00372288
2022 3 1 1 4 2 1 0.00100732
2022 3 1 1 4 2 2 0.000538763
2022 3 1 1 4 2 3 0.000352701
2022 3 1 1 4 2 4 0.000365504
2022 3 1 1 4 2 8 0.000382992
2022 3 1 1 4 3 0 0.00250912
2022 3 1 1 4 3 1 0.00125818
2022 3 1 1 4 3 2 0.000995293
2022 3 1 1 4 3 3 0.000828586
2022 3 1 1 4 3 4 0.000828586
2022 3 1 1 4 3 5 0.000756877
2022 3 1 1 4 3 6 0.000659287
2022 3 1 1 4 3 7 0.000791467
2022 3 1 1 5 2 0 0.00402559
2022 3 1 1 5 2 1 0.00139069
2022 3 1 1 5 2 2 0.000817735
2022 3 1 1 5 2 3 0.0005679
2022 3 1 1 5 2 4 0.000585676
2022 3 1 1 5 2 5 0.000461682
2022 3 1 1 5 2 6 0.000440649
2022 3 1 1 5 2 7 0.000454506
2022 3 1 1 5 2 8 0.000609799
2022 3 1 1 5 3 0 0.00247173
2022 3 1 1 5 3 1 0.00145285
2022 3 1 1 5 3 2 0.00120332
2022 3 1 1 5 3 3 0.00103637
2022 3 1 1 5 3 4 0.00103637
2022 3 1 1 5 3 5 0.000962155
2022 3 1 1 5 3 6 0.000858524
2022 3 1 1 5 3 7 0.000998149
2022 3 1 1 6 2 0 0.00462754
2022 3 1 1 6 2 1 0.00194827
2022 3 1 1 6 2 2 0.00123692
2022 3 1 1 6 2 3 0.000901083
2022 3 1 1 6 2 4 0.000925657
2022 3 1 1 6 2 5 0.000751657
2022 3 1 1 6 2 6 0.000721494
2022 3 1 1 6 2 7 0.00074139
2022 3 1 1 6 2 8 0.000958823
2022 3 1 1 6 3 0 0.00263488
2022 3 1 1 6 3 1 0.00176131
2022 3 1 1 6 3 2 0.00151406
2022 3 1 1 6 3 3 0.00134035
2022 3 1 1 6 3 4 0.00134035
2022 3 1 1 6 3 5 0.0012608
2022 3 1 1 6 3 6 0.00114715
2022 3 1 1 6 3 7 0.00129957
2022 3 1 1 7 2 0 0.00274714
2022 3 1 1 7 2 1 0.0013836
2022 3 1 1 7 2 2 0.000941646
2022 3 1 1 7 2 3 0.000716349
2022 3 1 1 7 2 4 0.00073328
2022 3 1 1 7 2 5 0.000611664
2022 3 1 1 7 2 6 0.000590146
2022 3 1 1 7 2 7 0.000604355
2022 3 1 1 7 2 8 0.00075601
2022 3 1 1 7 3 0 0.00146085
2022 3 1 1 7 3 1 0.00109721
2022 3 1 1 7 3 2 0.000975511
2022 3 1 1 7 3 3 0.000885373
2022 3 1 1 7 3 4 0.000885373
2022 3 1 1 7 3 5 0.000842789
2022 3 1 1 7 3 6 0.000780483
2022 3 1 1 7 3 7 0.000863645
2022 3 1 1 8 2 0 0.00402902
2022 3 1 1 8 2 1 0.00243013
2022 3 1 1 8 2 2 0.00177366
2022 3 1 1 8 2 3 0.0014094
2022 3 1 1 8 2 4 0.00143757
2022 3 1 1 8 2 5 0.00123202
2022 3 1 1 8 2 6 0.00119484
2022 3 1 1 8 2 7 0.00121942
2022 3 1 1 8 2 8 0.00147518
2022 3 1 1 8 3 0 0.00200015
2022 3 1 1 8 3 1 0.00168911
2022 3 1 1 8 3 2 0.00155354
2022 3 1 1 8 3 3 0.00144577
2022 3 1 1 8 3 4 0.00144577
2022 3 1 1 8 3 5 0.0013928
2022 3 1 1 8 3 6 0.00131296
2022 3 1 1 8 3 7 0.00141891
